Total_Pemasukan_Belum,Total_Pengeluaran_Belum,Total_Anggaran_Belum,Total_Tabungan_Belum,Status_Kesehatan_Finansial,Total_Pemasukan,Total_Pengeluaran,Total_Anggaran,Total_Tabungan
16082229,6803764,6822938,3004753,Sehat,16100000,6800000,6800000,3000000
18685607,14205667,14279645,3542098,Perlu Perhatian,18700000,14200000,14300000,3500000
12247530,7649083,6628140,2009773,Perlu Perhatian,12200000,7600000,6600000,2000000
12178611,9588350,6749203,1450986,Perlu Perhatian,12200000,9600000,6700000,1500000
19200902,11450528,9771255,3921324,Perlu Perhatian,19200000,11500000,9800000,3900000
19326749,13998907,13304751,2670003,Perlu Perhatian,19300000,14000000,13300000,2700000
12524028,14696383,12031097,1381631,Berisiko,12500000,14700000,12000000,1400000
19994023,16498938,18144129,3426507,Berisiko,20000000,16500000,18100000,3400000
7997767,5048282,3587973,1995251,Perlu Perhatian,8000000,5000000,3600000,2000000
12794603,9189027,6730319,727335,Perlu Perhatian,12800000,9200000,6700000,700000
7837842,5619636,4314224,826429,Perlu Perhatian,7800000,5600000,4300000,800000
9209033,10993162,10341405,700378,Berisiko,9200000,11000000,10300000,700000
11775965,3492816,2668620,2170005,Sehat,11800000,3500000,2700000,2200000
14131662,10736279,8469525,2817942,Perlu Perhatian,14100000,10700000,8500000,2800000
16734802,15799311,16888555,1824972,Berisiko,16700000,15800000,16900000,1800000
12094261,13118526,13572366,1182248,Berisiko,12100000,13100000,13600000,1200000
14983035,9837324,9874867,2494101,Perlu Perhatian,15000000,9800000,9900000,2500000
8883183,3691370,2822782,1342322,Sehat,8900000,3700000,2800000,1300000
19860799,14567054,10697195,3932287,Perlu Perhatian,19900000,14600000,10700000,3900000
19785062,19661963,19193786,116307,Berisiko,19800000,19700000,19200000,100000
10515602,11490405,9689049,1108070,Berisiko,10500000,11500000,9700000,1100000
14144568,15134932,11718185,2241890,Berisiko,14100000,15100000,11700000,2200000
18788850,8812113,9023820,3252629,Sehat,18800000,8800000,9000000,3300000
10029513,6983371,7473669,2114612,Perlu Perhatian,10000000,7000000,7500000,2100000
15957768,3228203,3519421,2401170,Sehat,16000000,3200000,3500000,2400000
15028102,12244672,9143813,877090,Berisiko,15000000,12200000,9100000,900000
5508868,5356073,5327647,191341,Berisiko,5500000,5400000,5300000,200000
6144694,6780701,7159806,456076,Berisiko,6100000,6800000,7200000,500000
7115087,6897978,6643406,450243,Berisiko,7100000,6900000,6600000,500000
9101484,4653776,4166136,1508476,Perlu Perhatian,9100000,4700000,4200000,1500000
5081066,4462038,3458951,988493,Berisiko,5100000,4500000,3500000,1000000
11329713,5508651,5845426,4347316,Sehat,11300000,5500000,5800000,4300000
18948611,4804606,4801458,4856832,Sehat,18900000,4800000,4800000,4900000
4160421,2932596,2454661,1095465,Perlu Perhatian,4200000,2900000,2500000,1100000
10443668,10897424,10031851,2076086,Berisiko,10400000,10900000,10000000,2100000
16716142,16061327,14350239,2419957,Berisiko,16700000,16100000,14400000,2400000
17096998,20194367,21238617,1959388,Berisiko,17100000,20200000,21200000,2000000
15757430,15898534,12584305,1944588,Berisiko,15800000,15900000,12600000,1900000
14719346,4264494,4135400,4223315,Sehat,14700000,4300000,4100000,4200000
4908474,3500529,3213502,1172418,Perlu Perhatian,4900000,3500000,3200000,1200000
14061997,9507716,8621986,3675732,Perlu Perhatian,14100000,9500000,8600000,3700000
13997005,2860078,2418943,5493572,Sehat,14000000,2900000,2400000,5500000
6312174,3918506,3122534,1162864,Perlu Perhatian,6300000,3900000,3100000,1200000
18933318,22419206,18012584,3369782,Berisiko,18900000,22400000,18000000,3400000
19931231,13276742,14064944,5146188,Perlu Perhatian,19900000,13300000,14100000,5100000
11786616,2612247,2014956,3159779,Sehat,11800000,2600000,2000000,3200000
14210750,7370456,5248533,3843690,Perlu Perhatian,14200000,7400000,5200000,3800000
15930155,19004635,17555069,855814,Berisiko,15900000,19000000,17600000,900000
5414500,2547357,2323763,1173446,Sehat,5400000,2500000,2300000,1200000
5120174,1544020,1526722,815008,Sehat,5100000,1500000,1500000,800000
16075974,16768876,15840171,3086891,Berisiko,16100000,16800000,15800000,3100000
8388603,9533569,8884545,530564,Berisiko,8400000,9500000,8900000,500000
8375879,6394830,6771877,1458773,Perlu Perhatian,8400000,6400000,6800000,1500000
8285020,5711664,4346527,941835,Perlu Perhatian,8300000,5700000,4300000,900000
14513409,10197351,9540911,1419077,Perlu Perhatian,14500000,10200000,9500000,1400000
14105378,4401557,3773144,3878942,Sehat,14100000,4400000,3800000,3900000
19376188,12321708,13476607,4007337,Perlu Perhatian,19400000,12300000,13500000,4000000
15128609,9915973,10489644,3136763,Perlu Perhatian,15100000,9900000,10500000,3100000
3266683,3435068,3481559,248361,Berisiko,3300000,3400000,3500000,200000
7997645,3802559,3338539,941265,Sehat,8000000,3800000,3300000,900000
11934008,3999414,4263709,2208330,Sehat,11900000,4000000,4300000,2200000
10788407,9468355,7206360,1600142,Berisiko,10800000,9500000,7200000,1600000
9610168,10556825,11302683,248129,Berisiko,9600000,10600000,11300000,200000
3049472,1719172,1386278,410745,Perlu Perhatian,3000000,1700000,1400000,400000
15312453,16982491,17448024,2057268,Berisiko,15300000,17000000,17400000,2100000
13184095,8130724,7049240,781623,Perlu Perhatian,13200000,8100000,7000000,800000
5069158,4410249,3349595,249089,Berisiko,5100000,4400000,3300000,200000
18174026,17722171,13994335,1410663,Berisiko,18200000,17700000,14000000,1400000
4664810,3896754,3116794,345395,Berisiko,4700000,3900000,3100000,300000
13826269,8712729,6888759,1852932,Perlu Perhatian,13800000,8700000,6900000,1900000
12125820,6145542,5731822,776003,Perlu Perhatian,12100000,6100000,5700000,800000
13360483,4419016,4137910,4064195,Sehat,13400000,4400000,4100000,4100000
16447592,7934819,8365810,3352292,Sehat,16400000,7900000,8400000,3400000
3102794,1433085,1289725,996309,Sehat,3100000,1400000,1300000,1000000
19503833,15323890,15944551,4678960,Perlu Perhatian,19500000,15300000,15900000,4700000
15176089,9808268,9568477,3587608,Perlu Perhatian,15200000,9800000,9600000,3600000
10963430,8457479,9017398,3036196,Perlu Perhatian,11000000,8500000,9000000,3000000
8183293,5966102,4623784,1552614,Perlu Perhatian,8200000,6000000,4600000,1600000
13554609,13571401,14431320,2430199,Berisiko,13600000,13600000,14400000,2400000
13629129,9196205,9935878,2677109,Perlu Perhatian,13600000,9200000,9900000,2700000
15507281,12075133,8574378,3698910,Perlu Perhatian,15500000,12100000,8600000,3700000
14628761,16203483,17266118,1706234,Berisiko,14600000,16200000,17300000,1700000
15529844,17184201,14711118,921700,Berisiko,15500000,17200000,14700000,900000
7542590,2454862,2402807,2128939,Sehat,7500000,2500000,2400000,2100000
13024307,12242255,9598575,378409,Berisiko,13000000,12200000,9600000,400000
14593239,3543102,3424056,4029747,Sehat,14600000,3500000,3400000,4000000
4202814,1468000,1165531,476620,Sehat,4200000,1500000,1200000,500000
6124606,1919503,1969604,1118125,Sehat,6100000,1900000,2000000,1100000
17249381,4406355,3806448,5590382,Sehat,17200000,4400000,3800000,5600000
18955488,13763003,12503023,3256346,Perlu Perhatian,19000000,13800000,12500000,3300000
10761168,8251220,8699108,2991112,Perlu Perhatian,10800000,8300000,8700000,3000000
17796554,8293060,8383701,3863731,Sehat,17800000,8300000,8400000,3900000
12160564,5344848,4630006,4135209,Sehat,12200000,5300000,4600000,4100000
13504869,8471854,7648245,3512592,Perlu Perhatian,13500000,8500000,7600000,3500000
6679506,6641352,5071264,683120,Berisiko,6700000,6600000,5100000,700000
7422541,5695126,4884606,1683265,Perlu Perhatian,7400000,5700000,4900000,1700000
11234091,12146856,12866164,2126705,Berisiko,11200000,12100000,12900000,2100000
11260375,6410880,5978945,1524554,Perlu Perhatian,11300000,6400000,6000000,1500000
14555127,6273020,5270350,1857752,Sehat,14600000,6300000,5300000,1900000
13880595,5969326,6330737,3654867,Sehat,13900000,6000000,6300000,3700000
18820365,14621885,10557817,4642662,Perlu Perhatian,18800000,14600000,10600000,4600000
4012110,4673734,4668199,458886,Berisiko,4000000,4700000,4700000,500000
4803773,2743941,2972225,983897,Perlu Perhatian,4800000,2700000,3000000,1000000
14381800,5846726,4705766,3104221,Sehat,14400000,5800000,4700000,3100000
9655163,4066707,3143936,2633712,Sehat,9700000,4100000,3100000,2600000
12903349,13243626,10414128,1034753,Berisiko,12900000,13200000,10400000,1000000
14159694,15801141,14966458,309149,Berisiko,14200000,15800000,15000000,300000
6232375,2970364,2380115,1428761,Sehat,6200000,3000000,2400000,1400000
3000564,2236402,2277374,896611,Perlu Perhatian,3000000,2200000,2300000,900000
10919461,9591997,7942170,1370059,Berisiko,10900000,9600000,7900000,1400000
19636764,4788282,4685190,4638422,Sehat,19600000,4800000,4700000,4600000
15722261,17449473,13434912,536450,Berisiko,15700000,17400000,13400000,500000
4946646,1816670,1743960,1337803,Sehat,4900000,1800000,1700000,1300000
6943633,4346929,3574970,570871,Perlu Perhatian,6900000,4300000,3600000,600000
11343091,8881502,9431883,2657746,Perlu Perhatian,11300000,8900000,9400000,2700000
8598322,4688604,4286490,1173514,Perlu Perhatian,8600000,4700000,4300000,1200000
8825573,7002478,5363679,2138121,Perlu Perhatian,8800000,7000000,5400000,2100000
14284132,7489934,8216235,3688845,Perlu Perhatian,14300000,7500000,8200000,3700000
17521808,20871993,17814253,3287195,Berisiko,17500000,20900000,17800000,3300000
16989684,3728519,2870806,6272229,Sehat,17000000,3700000,2900000,6300000
11791842,4024746,3480294,2508350,Sehat,11800000,4000000,3500000,2500000
15128227,10246386,11106255,2265696,Perlu Perhatian,15100000,10200000,11100000,2300000
4443865,3654573,3459994,550011,Berisiko,4400000,3700000,3500000,600000
7206344,3308878,2917155,1626436,Sehat,7200000,3300000,2900000,1600000
17781243,4500414,3973260,1962413,Sehat,17800000,4500000,4000000,2000000
13905299,7506441,6164899,1204297,Perlu Perhatian,13900000,7500000,6200000,1200000
19339749,12764387,13249393,4330198,Perlu Perhatian,19300000,12800000,13200000,4300000
11590156,5578417,4078593,1342070,Sehat,11600000,5600000,4100000,1300000
15933302,18442753,17780257,609639,Berisiko,15900000,18400000,17800000,600000
19316863,11062827,9278617,1842005,Perlu Perhatian,19300000,11100000,9300000,1800000
13285010,4625757,3247248,2106304,Sehat,13300000,4600000,3200000,2100000
7406153,6638212,7035812,942666,Berisiko,7400000,6600000,7000000,900000
19646146,4016785,2981290,2337534,Sehat,19600000,4000000,3000000,2300000
7202917,6338691,6130856,989467,Berisiko,7200000,6300000,6100000,1000000
3936579,3003863,2740992,559553,Perlu Perhatian,3900000,3000000,2700000,600000
3027268,2290980,2237332,599708,Perlu Perhatian,3000000,2300000,2200000,600000
5264878,3349387,3682421,324128,Perlu Perhatian,5300000,3300000,3700000,300000
16499667,5254527,5005893,4849416,Sehat,16500000,5300000,5000000,4800000
10966197,6248598,4707262,1176583,Perlu Perhatian,11000000,6200000,4700000,1200000
8312728,9971154,7562570,573837,Berisiko,8300000,10000000,7600000,600000
6956195,2505016,1809855,2009413,Sehat,7000000,2500000,1800000,2000000
4921352,2876412,2890277,1445890,Perlu Perhatian,4900000,2900000,2900000,1400000
15118401,5015305,5467192,3161007,Sehat,15100000,5000000,5500000,3200000
15133755,15934401,17241365,2525854,Berisiko,15100000,15900000,17200000,2500000
5012749,4583054,4529773,676695,Berisiko,5000000,4600000,4500000,700000
17830567,13499160,13403705,2555695,Perlu Perhatian,17800000,13500000,13400000,2600000
9538518,10298667,7309892,1378291,Berisiko,9500000,10300000,7300000,1400000
17356914,11745855,12097830,2367679,Perlu Perhatian,17400000,11700000,12100000,2400000
6100762,2169990,2271148,2083200,Sehat,6100000,2200000,2300000,2100000
18810456,12870512,10055320,2440325,Perlu Perhatian,18800000,12900000,10100000,2400000
3571868,3725929,3533881,159701,Berisiko,3600000,3700000,3500000,200000
6555416,5680134,5589951,67281,Berisiko,6600000,5700000,5600000,100000
18780821,22171259,20482727,1592798,Berisiko,18800000,22200000,20500000,1600000
